,seq_len,io_p95,vanilla_p95,io_improvement
0,8,1.8219325502286665,1.907817449500726,4.5
1,16,1.8098669006576529,1.8971089502883842,4.6
2,32,1.9551109510757672,2.0158576001449546,3.01
3,64,2.783716000794811,2.855069101042318,2.5
4,128,4.128887399929226,4.183355348595796,1.3
5,256,7.5285288495251725,7.72163074952914,2.5
6,512,15.081431699672976,15.415627150377986,2.17
