,seq_len,io_p95,vanilla_p95
0,8,1.8252749503517407,1.9165848506418113
1,16,1.7931369008692855,1.903222049531905
2,32,1.9368819496776268,2.01499819959281
3,64,2.7740731997255352,2.8157432492662333
4,128,4.124119250536751,4.166625350899267
5,256,7.6007805003428075,7.70895960058624
6,512,15.066677150298347,15.159553949706606
